#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
ATL - CHC	<b>Optimal:</b> Billy Hamilton, Edwin Jackson, Lew Burdette<br><b>Twins:</b> Billy Hamilton, Terry Mulholland
ATL - CHW	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton
ATL - CIN	<b>Optimal:</b> Billy Hamilton, Bruce Chen, Edgar Renteria<br><b>Twins:</b> Billy Hamilton
ATL - CLE	<b>Optimal:</b> Anthony Swarzak, Bruce Chen<br><b>Twins:</b> Anthony Swarzak, Gio Urshela, Gregg Olson, Terry Mulholland
ATL - COL	<b>Optimal:</b> Octavio Dotel<br><b>Twins:</b> Mark Redman
ATL - DET	<b>Optimal:</b> Edgar Renteria, Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Gio Urshela, Gregg Olson, Mark Redman, Ron Kline
ATL - FLA	<b>Optimal:</b> Billy Hamilton, Edgar Renteria, Edwin Jackson<br><b>Twins:</b> Billy Hamilton, Luis Ayala, Mark Redman
ATL - HOU	<b>Optimal:</b> Bruce Chen, Octavio Dotel<br><b>Twins:</b> Gregg Olson, Jake Odorizzi
ATL - KCR	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Bruce Chen, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton, Gregg Olson, Jake Odorizzi, Mark Redman
ATL - LAD	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Gregg Olson, Terry Mulholland
ATL - MIL	<b>Optimal:</b> Anthony Swarzak<br><b>Twins:</b> Anthony Swarzak, Jay Jackson
ATL - MIN	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton, Gio Urshela, Gregg Olson, Jake Odorizzi, Jay Jackson, Luis Ayala, Mark Redman, Ron Kline, Terry Mulholland
ATL - NYM	<b>Optimal:</b> Anthony Swarzak, Billy Hamilton, Bruce Chen, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Billy Hamilton, Luis Ayala
ATL - NYY	<b>Optimal:</b> Anthony Swarzak, Lew Burdette, Octavio Dotel<br><b>Twins:</b> Anthony Swarzak, Gio Urshela, Luis Ayala, Terry Mulholland
ATL - OAK	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Mark Redman
ATL - PHI	<b>Optimal:</b> Bruce Chen, Lew Burdette<br><b>Twins:</b> Terry Mulholland
ATL - PIT	<b>Optimal:</b> Octavio Dotel<br><b>Twins:</b> Mark Redman, Ron Kline, Terry Mulholland
ATL - SDP	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Jay Jackson
ATL - SEA	<b>Optimal:</b> Anthony Swarzak<br><b>Twins:</b> Anthony Swarzak, Terry Mulholland
ATL - SFG	<b>Optimal:</b> Edgar Renteria<br><b>Twins:</b> Jay Jackson, Ron Kline, Terry Mulholland
ATL - STL	<b>Optimal:</b> Edgar Renteria, Edwin Jackson, Lew Burdette, Octavio Dotel<br><b>Twins:</b> Ron Kline
ATL - TBD	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Jake Odorizzi
ATL - TEX	<b>Optimal:</b> Bruce Chen<br><b>Twins:</b> Ron Kline
ATL - TOR	<b>Optimal:</b> Edwin Jackson, Octavio Dotel<br><b>Twins:</b> Gio Urshela, Jay Jackson
ATL - WSN	<b>Optimal:</b> Bruce Chen, Edwin Jackson<br><b>Twins:</b> Luis Ayala
BAL - BOS	<b>Optimal:</b> Bruce Chen, Rich Hill<br><b>Twins:</b> Rich Hill
